,IATA,ICAO,Airport name,Location served,Time,DST
4361,LOM,,Francisco Primo de Verdad National Airport,"Lagos de Moreno, Jalisco, Mexico",UTC−06:00,Apr-Oct
4362,LON[2],,metropolitan area3,"London, England, United Kingdom",UTC±00:00,Mar-Oct
4371,LOX,,Los Tablones Airport,"Los Tablones, Guatemala",UTC−06:00,
4386,LPN,,Leron Plains Airport[2],"Leron Plains, Papua New Guinea",UTC+10:00,
4390,LPS,,Fishermans Bay/LPS Seaplane Base,"Lopez Island, Washington, United States",UTC−08:00,Mar-Nov
4405,LRI,,Lorica Airport,"Lorica, Colombia",UTC−05:00,
4409,LRQ,,Laurie River Airport,"Laurie River, Manitoba, Canada",UTC−06:00,Mar-Nov
4422,LSJ,,Long Island Airport,"Long Island, Papua New Guinea",UTC+10:00,
4439,LTB,,Latrobe Airport,"Latrobe, Tasmania, Australia",UTC+10:00,Oct-Apr
4442,LTF,,Leitre Airport,"Leitre, Papua New Guinea",UTC+10:00,
4457,LTW,,St. Mary's County Regional Airport (FAA: 2W6)(Captain Walter Francis Duke Regional Airport),"Leonardtown, Maryland, United States",UTC−05:00,Mar-Nov
4458,LTX,,Cotopaxi International Airport,"Latacunga, Ecuador",UTC−05:00,
4467,LUI,,La Unión Airport,"La Unión, Honduras",UTC−06:00,
4485,LVD,,Lime Village Airport (FAA: 2AK),"Lime Village, Alaska, United States",UTC−09:00,Mar-Nov
4494,LWA,,Lebak Airport,"Lebak, Philippines",UTC+08:00,
4499,LWI,,Lowai Airport,"Lowai, Papua New Guinea",UTC+10:00,
4524,LYK,,Lunyuk Airport,"Lunyuk, Indonesia",UTC+08:00,
4530,LYT,,Lady Elliot Island Airport,"Lady Elliot Island, Queensland, Australia",UTC+10:00,
4558,MAP,,Mamai Airport,"Mamai, Papua New Guinea",UTC+10:00,
4564,MAV,,Maloelap Airport (FAA: 3N1),"Taroa Island, Maloelap Atoll, Marshall Islands",UTC+12:00,
4581,MBM,,Mkambati Airport[1],"Mkambati, South Africa",UTC+02:00,
4582,MBN,,Mount Barnett Airport,"Mount Barnett, Western Australia, Australia",UTC+08:00,
4590,MBV,,Masa Airport,"Masa, Papua New Guinea",UTC+10:00,
4627,MDJ,,Madras Municipal Airport (FAA: S33),"Madras, Oregon, United States",UTC−08:00,Mar-Nov
4630,MDM,,Munduku Airport,"Munduku, Papua New Guinea",UTC+10:00,
4638,MDV,,Médouneu Airport,"Médouneu, Gabon",UTC+01:00,
4648,MEF,,Melfi Airport,"Melfi, Chad",UTC+01:00,
4670,MFB,,Monfort Airport,"Monfort, Colombia",UTC−05:00,
4676,MFH,,Mesquite Airport (FAA: 67L),"Mesquite, Nevada, United States",UTC−08:00,Mar-Nov
4680,MFL,,Mount Full Stop Airport[1],"Wandovale, Queensland, Australia",UTC+10:00,
4683,MFO,,Manguna Airport,"Manguna, Papua New Guinea",UTC+10:00,
4690,MFW,,Magaruque Airport,"Magaruque Island, Mozambique",UTC+02:00,
4692,MFY,,Mayfa'ah Airport,"Mayfa'ah, Yemen",UTC+03:00,
4693,MFZ,,Meselia Airport,"Meselia, Papua New Guinea",UTC+10:00,
4700,MGG,,Margarima Airport,"Margarima, Papua New Guinea",UTC+10:00,
4702,MGI,,Aransas National Wildlife Refuge Airport[1] (FAA: XS10),"Matagorda Island, Texas, United States",UTC−06:00,Mar-Nov
4708,MGO,,Manega Airport[1],"Manega, Gabon",UTC+01:00,
4709,MGP,,Manga Airport,"Manga, Papua New Guinea",UTC+10:00,
4724,MHF,,Morichal Airport,"Morichal, Colombia",UTC−05:00,
4735,MHS,,Dunsmuir Municipal-Mott Airport[1] (FAA: 1O6),"Mount Shasta, California, United States",UTC−08:00,Mar-Nov
4741,MHY,,Morehead Airport,"Morehead, Papua New Guinea",UTC+10:00,
4748,MIF,,Roy Hurd Memorial Airport (FAA: E01),"Monahans, Texas, United States",UTC−06:00,Mar-Nov
4754,MIL[1],,metropolitan area1,"Milan, Lombardy, Italy",UTC+01:00,Mar-Oct
4766,MIX,,Mirití-Paraná Airport,"Mirití-Paraná, Colombia",UTC−05:00,
4767,MIY,,Mittiebah Airport[1],"Mittiebah Station, Northern Territory, Australia",UTC+09:30,
4768,MIZ,,Mainoru Airport[1],"Mainoru, Northern Territory, Australia",UTC+09:30,
4770,MJB,,Mejit Airport (FAA: Q30),"Mejit Island, Marshall Islands",UTC+12:00,
4773,MJE,,Majkin Airport,"Majkin, Marshall Islands",UTC+12:00,
4776,MJJ,,Moki Airport,"Moki, Papua New Guinea",UTC+10:00,
4784,MJR,,Miramar Airport,"Miramar, Buenos Aires, Argentina",UTC−03:00,
4785,MJS,,Maganja da Costa Airport[1],"Maganja da Costa, Mozambique",UTC+02:00,
4803,MKN,,Malekolon Airport,"Malekolon, Papua New Guinea",UTC+10:00,
4825,MLK,,Malta Airport[1] (FAA: M75),"Malta, Montana, United States",UTC−07:00,Mar-Nov
4831,MLQ,,Malalaua Airport[1],"Malalaua, Papua New Guinea",UTC+10:00,
4841,MMA[1],,metropolitan area2,"Malmö, Sweden",UTC+01:00,Mar-Oct
4854,MMN,,Minute Man Air Field[1] (FAA: 6B6),"Stow, Massachusetts, United States",UTC−05:00,Mar-Nov
4861,MMV,,Mal Island Airport,"Mal Island, Papua New Guinea",UTC+10:00,
4862,MMW,,Moma Airport,"Moma, Mozambique",UTC+02:00,
4869,MND,,Medina Airport[1],"Medina, Colombia",UTC−05:00,
4873,MNH,,Al-Musannah Airport[1],"Al-Musannah, Oman",UTC+04:00,
4881,MNP,,Maron Island Airport[1],"Maron Island, Papua New Guinea",UTC+10:00,
4885,MNT,,Minto Al Wright Airport (FAA: 51Z),"Minto, Alaska, United States",UTC−09:00,Mar-Nov
4887,MNV,,Mount Valley Airport[1],"Mount Valley, Northern Territory, Australia",UTC+09:30,
4899,MOH,,Maleo Airport,"Morowali, Indonesia",UTC+08:00,
4909,MOS,,Moses Point Airport[1],"Elim, Alaska, United States",UTC−09:00,Mar-Nov
4913,MOW[1],,metropolitan area3,"Moscow, Russia",UTC+03:00,
4915,MOY,,Monterrey Airport,"Monterrey, Colombia",UTC−05:00,
4918,MPB,,Miami Seaplane Base (FAA: X44),"Miami, Florida, United States",UTC−05:00,Mar-Nov
4921,MPF,,Mapoda Airport,"Mapoda, Papua New Guinea",UTC+10:00,
4922,MPG,,Makini Airport,"Makini, Papua New Guinea",UTC+10:00,
4924,MPI,,Mamitupu Airport,"Mamitupo, Panama",UTC−05:00,
4930,MPP,,Mulatupo Airport,"Mulatupo, Panama",UTC−05:00,
4935,MPU,,Mabua Airstrip,"Mabua, Papua New Guinea",UTC+10:00,
4938,MPX,,Miyanmin Airport,"Miyanmin, Papua New Guinea",UTC+10:00,
4954,MQO,,Malam Airport[1],"Malam, Papua New Guinea",UTC+10:00,
4957,MQR,,Mosquera Airport[1],"Mosquera, Colombia",UTC−05:00,
4961,MQV,,Mostaganem Airport[1],"Mostaganem, Algeria",UTC+01:00,
4966,MRA,,Misrata Airport,"Misrata, Libya",UTC+02:00,
4970,MRE,,Mara Serena Airport,"Maasai Mara, Kenya",UTC+03:00,
4973,MRH,,May River Airport[1],"May River, Papua New Guinea",UTC+10:00,
4977,MRL,,Miners Lake Airport[1],"Miners Lake, Queensland, Australia",UTC+10:00,
