,IATA,ICAO,Airport name,Location served,Time,DST
6165,PRW,,Prentice Airport (FAA: 5N2),"Prentice, Wisconsin, United States",,
6168,PRZ,,Prineville Airport (FAA: S39),"Prineville, Oregon, United States",,
6185,PSQ,,Philadelphia Seaplane Base (FAA: 9N2),"Philadelphia, Pennsylvania, United States",,
6189,PSV,,Papa Stour Airstrip[1],"Papa Stour, Scotland, United Kingdom",,
6196,PTC,,Port Alice Seaplane Base (FAA: 16K),"Port Alice, Alaska, United States",,
6216,PUA,,Puas Airport[1],"Puas, Papua New Guinea",,
6223,PUI,,Pureni Airport,"Pureni, Papua New Guinea",,
6226,PUL,,Port of Poulsbo Marina Moorage Seaplane Base (FAA: 83Q),"Poulsbo, Washington, United States",,
6258,PWI,,Beles Airport[1],"Pawi, Ethiopia",,
6265,PWR,,Port Walter Seaplane Base[1],"Port Walter, Alaska, United States",,
6270,PXL,,Polacca Airport (FAA: P10),"Polacca, Arizona, United States",,
6277,PYC,,Playón Chico Airport,"Ukupseni (Playón Chico), Panama",,
6279,PYG,,Pakyong Airport,"Pakyong, Sikkim, India",,
6283,PYL,,Perry Island Seaplane Base[1],"Perry Island, Alaska, United States",,
6285,PYN,,Payán Airport[1],"Payán, Colombia",,
6288,PYS,,Paradise Skypark[1] (FAA: CA92),"Paradise, California, United States",,
6289,PYV,,Yaviza Airport[1],"Yaviza, Panama",,
6290,PYY,,Pai Airport,"Pai, Thailand",,
6301,RAA,,Rakanda Airport[1],"Rakanda, Papua New Guinea",,
6304,RAD,,Road Town Seaplane Base[1],"Tortola, British Overseas Territory of Virgin Islands",,
6322,RAW,,Arawa Airport[1],"Arawa, Papua New Guinea",,
6323,RAX,,Oram Airport[1],"Oram, Papua New Guinea",,
6330,RBF,,Big Bear City Airport[1] (FAA: L35),"Big Bear City, California, United States",,
6334,RBK,,French Valley Airport[1] (FAA: F70),"Murrieta / Temecula, California, United States",,
6338,RBP,,Rabaraba Airport[1],"Rabaraba, Papua New Guinea",,
6350,RCE,,Roche Harbor Seaplane Base,"Roche Harbor, Washington, United States",,
6355,RCN,,American River Airport[1],"American River, South Australia, Australia",,
6367,RDE,,Merdey Airport[1] (Jahabra Airport),"Merdey, Indonesia",,
6377,RDV,,Red Devil Airport,"Red Devil, Alaska, United States",,
6383,REE,,Reese Airpark[1] (FAA: 8XS8),"Lubbock, Texas, United States",,
6386,REK[1],,metropolitan area1,"Reykjavík, Iceland",,
6391,REQ,,Reko Diq Airport[1],"Reko Diq, Pakistan",,
6396,REW,,Churhata Airport[1],"Rewa, Madhya Pradesh, India",,
6403,RFK,,Rollang Field[1] (FAA: 5MS1),"Rolling Fork, Mississippi, United States",,
6409,RGE,,Porgera Airport[1],"Porgera, Papua New Guinea",,
6416,RGR,,Ranger Municipal Airport[1] (FAA: F23),"Ranger, Texas, United States",,
6428,RHR,,Al Hamra Seaplane Base[1],"Ras al-Khaimah, United Arab Emirates",,
6429,RHT,,Alxa Right Banner Badanjilin Airport,"Alxa Right Banner, Inner Mongolia, China",,
6443,RIO[1],,metropolitan area2,"Rio de Janeiro, Brazil",,
6450,RIZ,,Rizhao Shanzihe Airport,"Rizhao, Shandong, China",,
6454,RJI,,Rajouri Airport[1],"Rajouri, Jammu and Kashmir, India",,
6457,RJM,,Marinda Airport[1],"Waisai, Indonesia",,
6468,RKU,,Kairuku Airport[1],"Yule Island, Papua New Guinea",,
6471,RKY,,Rokeby Airport[1],"Rokeby, Queensland, Australia",,
6477,RLP,,Rosella Plains Airport[1],"Rosella Plains, Queensland, Australia",,
6478,RLR,,Relais de la Reine Airport[1],"Isalo, Madagascar",,
6489,RMN,,Rumginae Airport,"Rumginae, Papua New Guinea",,
6501,RNG,,Rangely Airport[1] (FAA: 4V0),"Rangely, Colorado, United States",,
6509,RNP,,Rongelap Airport,"Rongelap Atoll, Marshall Islands",,
6510,RNR,,Robinson River Airport[1],"Robinson River, Papua New Guinea",,
6519,ROF,,Montague Airport[1] (Yreka Rohrer Field) (FAA: 1O5),"Montague / Yreka, California, United States",,
6524,ROL,,Roosevelt Municipal Airport,"Roosevelt, Utah, United States",,
6525,ROM[1],,metropolitan area3,"Rome, Lazio, Italy",,
6540,RPI,,Rampi Airport,"Rampi, Indonesia",,
6544,RPV,,Roper Valley Airport[1],"Roper Valley, Northern Territory, Australia",,
6547,RQW,,Qayyarah Airfield West[1],"Qayyarah, Iraq",,
6548,RRE,,Marree Airport[1],"Marree, South Australia, Australia",,
6550,RRI,,Barora Airport[1],"Barora, Solomon Islands",,
6554,RRM,,Marromeu Airport[1],"Marromeu, Mozambique",,
6558,RRV,,Robinson River Airport[1],"Robinson River, Northern Territory, Australia",,
6560,RSB,,Roseberth Airport[1],"Roseberth, Queensland, Australia",,
6562,RSE,,Rose Bay Water Airport[1],"Sydney, New South Wales, Australia",,
6564,RSI,,Red Sea International Airport,"Red Sea Project, Tabuk Province, Saudi Arabia",,
6565,RSJ,,Rosario Seaplane Base (FAA: W49),"Orcas Island, Washington, United States",,
6573,RSX,,Rouses Point Seaplane Base[1] (FAA: K21),"Rouses Point, New York, United States",,
6578,RTI,,David Constantijn Saudale Airport[1],"Rote Island (Roti), Indonesia",,
6579,RTL,,Spirit Lake Municipal Airport[1] (FAA: 0F3),"Spirit Lake, Iowa, United States",,
6588,RUE,,Butembo Airport[1],"Butembo, Democratic Republic of the Congo",,
6601,RUU,,Ruti Airport[1],"Kawbenaberi, Papua New Guinea",,
6605,RVC,,River Cess Airport[1],"River Cess, Liberia",,
6613,RVR,,Green River Municipal Airport[1] (FAA: U34),"Green River, Utah, United States",,
6622,RXA,,Ar Rawdah Airport[1],"Ar Rawdah (Raudha), Yemen",,
6628,RYL,,Royal Airstrip[1],"Lower Zambezi National Park, Zambia",,
